"","Il","Cəmi, min ton","Gübrələnmiş sahənin ümumi əkində xüsusi çəkisi %","Hər hektar əkinə, kq","Kartof, kq","Meyvə bağları, kq","Pambıq, kq","Taxıl, kq","Tütün, kq","Tərəvəz və bostan bitkiləri, kq","Üzümlüklər, kq","Yem bitkiləri, kq"
"","1990","139.3","64","87","131","70","144","92","221","233","0","36"
"","1992","94.5","60","65","66","43","106","73","225","135","31","19"
"","1993","69.2","55","51","52","10","83","58","126","112","18","12"
"","1994","34.3","39","26","9","2","39","32","65","68","14","3"
"","1995","11.4","24","10","15","1","21","10","42","20","1","2"
"","1996","7.6","20","8","0","0","10","11","26","4","0","1"
"","1997","4.9","17","5","0","0","8","5","20","2","0","0"
"","1998","2.2","9","4","0","0","8","3","13","0","0","0"
"","1999","1.3","13","5","0","0","11","5","4","1","0","0"
"","2007","22.8","0","16","3","8","42","22","3","7","20","4"
"","2009","22.8","31","12","12","7","27","14","4","12","2","3"
"","2010","31.7","34","18","16","20","25","20","76","37","15","4"
"","2011","20.4","54","12","10","9","30","15","34","19","6","2"
"","2012","28.1","61","16","28","11","31","20","65","20","6","5"
"","2013","29.3","68","16","28","12","30","20","66","24","7","4"
"","2014","34.1","46","19","31","15","33","23","71","30","7","4"
"","2015","40.6","58","23","26","17","35","21","72","28","8","9"
"","2016","80.7","70","44","34","43","101","51","120","53","43","14"
"","2017","118.7","72","63","41","52","144","62","114","62","60","18"
"","2018","141.3","84","72","81","63","84","86","141","91","40","35"